IPUMS Code	IPUMS Title	ONET Title	R	I	A	S	E	C
1350	Chemical Engineers	Biochemical Engineers	6.0	6.67	2.33	1.33	2.67	3.67
1360	Civil Engineers	Civil Engineers	6.67	6.0	2.67	1.33	2.67	4.33
1400	Computer Hardware Engineers	Computer Hardware Engineers	6.33	6.67	2.0	1.0	2.33	4.33
1420	Environmental Engineers	Environmental Engineers	4.67	7.0	3.0	1.67	3.67	4.33
1430	Industrial Engineers, including Health and Safety	Industrial Safety and Health Engineers	5.0	6.33	1.67	2.67	3.0	5.33
1430	Industrial Engineers, including Health and Safety	Industrial Engineers	4.33	7.0	2.0	1.33	4.67	4.67
1440	Marine Engineers and Naval Architects	Marine Engineers	6.0	6.67	2.67	1.0	3.67	3.67
1450	Materials Engineers	Materials Engineers	6.0	7.0	2.67	1.33	4.33	3.33
1460	Mechanical Engineers	Mechanical Engineers	6.33	6.67	2.67	2.0	1.67	4.0
1520	Petroleum, mining and geological engineers, including mining safety engineers	Mining and Geological Engineers, Including Mining Safety Engineers	5.67	6.33	1.67	1.33	4.33	3.67
1530	Engineers	Logistics Engineers	4.33	7.0	2.33	1.0	3.33	5.33
1530	Engineers	Software Quality Assurance Engineers and Testers	4.33	6.33	2.0	1.0	1.67	6.0
1540	Drafters	Architectural Drafters	5.33	4.67	5.67	1.33	2.33	4.33
1560	Surveying and Mapping Technicians	Mapping Technicians	4.33	3.0	1.67	1.0	1.67	6.67
1600	Agricultural and Food Scientists	Biofuels/Biodiesel Technology and Product Development Managers	3.0	6.0	1.67	2.0	6.67	3.33
1600	Agricultural and Food Scientists	Mathematicians	1.67	7.0	4.0	1.0	1.67	4.67
1640	Conservation Scientists and Foresters	Foresters	6.67	5.67	1.33	2.33	4.0	3.0
1700	Astronomers and Physicists	Astronomers	4.67	7.0	5.0	2.67	1.67	2.67
1700	Astronomers and Physicists	Physicists	4.0	7.0	3.33	1.0	2.0	3.0
1710	Atmospheric and Space Scientists	Atmospheric and Space Scientists	4.33	6.67	2.33	3.67	3.0	3.67
1720	Chemists and Materials Scientists	Chemists	4.0	7.0	2.0	1.0	2.0	3.33
1720	Chemists and Materials Scientists	Materials Scientists	5.0	7.0	2.67	1.33	3.67	3.33
1740	Environmental Scientists and Geoscientists	Biofuels/Biodiesel Technology and Product Development Managers	3.0	6.0	1.67	2.0	6.67	3.33
1740	Environmental Scientists and Geoscientists	Environmental Compliance Inspectors	5.0	6.0	2.0	2.0	2.0	6.0
1800	Economists and market researchers	Economists	2.33	7.0	2.67	1.67	4.0	4.67
1820	Psychologists	School Psychologists	1.33	7.0	3.67	6.0	1.67	3.67
1830	Urban and Regional Planners	Urban and Regional Planners	3.0	6.67	4.0	2.0	4.67	3.0
1900	Agricultural and Food Science Technicians	Food Science Technicians	5.67	5.0	1.67	1.0	1.67	5.0
1910	Biological Technicians	Biological Technicians	6.33	5.0	1.33	1.67	2.33	4.67
1920	Chemical Technicians	Chemical Technicians	5.67	6.0	1.33	1.0	2.0	4.0
1980	Professional, Research, or Technical Workers	Baggage Porters and Bellhops	7.0	1.0	1.0	3.33	3.0	4.33
1980	Professional, Research, or Technical Workers	Laborers and Freight, Stock, and Material Movers, Hand	7.0	1.0	1.0	1.0	1.67	2.33
2000	Counselors	Credit Counselors	1.0	2.33	2.0	5.33	5.33	5.33
2000	Counselors	Loan Counselors	1.0	2.0	1.67	5.33	6.33	4.33
2010	Social Workers	Child, Family, and School Social Workers	1.0	3.33	3.67	7.0	4.33	3.0
2010	Social Workers	Healthcare Social Workers	1.0	4.0	3.33	7.0	3.33	3.0
2040	Clergy	Clergy	1.0	2.0	4.67	7.0	4.67	2.67
2050	Directors, Religious Activities and Education	Directors, Religious Activities and Education	1.33	1.0	2.67	6.0	7.0	4.0
2100	Lawyers, and judges, magistrates, and other judicial workers	Lawyers	1.33	4.67	4.0	3.33	7.0	3.67
2140	Paralegals and Legal Assistants	Paralegals and Legal Assistants	1.0	5.0	1.67	2.0	4.33	5.67
2200	Postsecondary Teachers	Business Teachers, Postsecondary	1.0	4.0	3.33	7.0	4.33	3.67
2200	Postsecondary Teachers	Physics Teachers, Postsecondary	3.67	6.0	3.33	6.33	2.67	2.33
2300	Preschool and Kindergarten Teachers	Business Teachers, Postsecondary	1.0	4.0	3.33	7.0	4.33	3.67
2300	Preschool and Kindergarten Teachers	Physics Teachers, Postsecondary	3.67	6.0	3.33	6.33	2.67	2.33
2310	Elementary and Middle School Teachers	Business Teachers, Postsecondary	1.0	4.0	3.33	7.0	4.33	3.67
2310	Elementary and Middle School Teachers	Physics Teachers, Postsecondary	3.67	6.0	3.33	6.33	2.67	2.33
2320	Secondary School Teachers	Secondary School Teachers, Except Special and Career/Technical Education	1.67	2.67	4.67	7.0	4.0	3.0
2330	Special Education Teachers	Special Education Teachers, Preschool	1.0	2.67	4.0	7.0	1.67	3.33
2400	Archivists, Curators, and Museum Technicians	Archivists	3.0	5.33	1.67	3.33	2.33	6.67
2400	Archivists, Curators, and Museum Technicians	Curators	2.33	4.0	4.0	3.33	6.33	5.67
2430	Librarians	Librarians	2.33	3.33	2.67	5.33	4.67	7.0
2440	Library Technicians	Library Technicians	2.33	1.33	1.67	5.0	3.67	7.0
2540	Teacher Assistants	Teacher Assistants	1.0	2.67	3.67	7.0	3.0	5.33
