IPUMS Code	IPUMS Title	ONET Title	R	I	A	S	E	C
5520	Dispatchers	Dispatchers, Except Police, Fire, and Ambulance	4.0	1.67	1.0	3.0	4.0	6.67
5530	Meter Readers, Utilities	Meter Readers, Utilities	5.33	1.67	1.0	2.67	2.67	7.0
5540	Postal Service Clerks	Postal Service Clerks	3.67	1.0	1.33	3.0	2.67	7.0
5550	Postal Service Mail Carriers	Postal Service Mail Carriers	5.67	1.33	1.0	3.0	3.33	6.33
5560	Postal Service Mail Sorters, Processors, and Processing Machine Operators	Postal Service Mail Sorters, Processors, and Processing Machine Operators	4.67	1.0	1.0	1.33	2.33	7.0
5600	Production, Planning, and Expediting Clerks	Production, Planning, and Expediting Clerks	2.67	1.67	1.0	1.67	5.33	6.67
5610	Shipping, Receiving, and Traffic Clerks	Shipping, Receiving, and Traffic Clerks	5.0	1.0	1.0	1.0	3.67	6.33
5630	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	4.67	2.0	1.0	1.67	3.33	7.0
5700	Secretaries and Administrative Assistants	Executive Secretaries and Executive Administrative Assistants	2.67	2.67	1.33	3.33	4.67	7.0
5700	Secretaries and Administrative Assistants	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	1.33	1.0	1.33	3.0	5.0	7.0
5800	Computer Operators	Computer Operators	5.33	3.67	1.0	2.0	3.33	7.0
5810	Data Entry Keyers	Data Entry Keyers	4.33	2.67	1.0	1.0	3.33	7.0
5820	Word Processors and Typists	Word Processors and Typists	1.33	1.0	1.0	1.33	2.67	7.0
5840	Insurance Claims and Policy Processing Clerks	Insurance Policy Processing Clerks	1.0	1.67	1.0	2.33	4.33	7.0
5850	Mail Clerks and Mail Machine Operators, Except Postal Service	Mail Clerks and Mail Machine Operators, Except Postal Service	6.0	2.33	1.33	1.33	2.33	6.67
5860	Office Clerks, General	Office Clerks, General	3.67	1.67	1.0	3.67	4.33	7.0
5900	Office Machine Operators, Except Computer	Office Machine Operators, Except Computer	6.0	1.0	1.0	1.67	2.67	5.67
5910	Proofreaders and Copy Markers	Proofreaders and Copy Markers	1.33	1.67	3.33	2.67	2.67	6.67
5920	Statistical Assistants	Statistical Assistants	2.67	5.33	2.0	1.33	3.67	7.0
5940	Office and administrative support workers	First-Line Supervisors of Office and Administrative Support Workers	1.67	1.33	1.67	4.33	6.67	5.67
6010	Agricultural Inspectors	Agricultural Inspectors	6.67	4.0	1.33	1.67	3.33	4.33
6040	Graders and Sorters, Agricultural Products	Graders and Sorters, Agricultural Products	6.0	3.0	1.33	1.0	1.67	5.67
6100	Fishing and hunting workers	Sheet Metal Workers	7.0	1.33	1.67	1.0	1.67	2.0
6100	Fishing and hunting workers	Textile Bleaching and Dyeing Machine Operators and Tenders	6.67	1.67	1.0	1.0	1.67	2.33
6120	Forest and Conservation Workers	Forest and Conservation Workers	7.0	3.67	1.33	1.67	3.0	4.67
6130	Logging Workers	First-Line Supervisors of Logging Workers	5.67	2.0	1.33	3.0	7.0	4.33
6200	First-Line Supervisors of Construction Trades and Extraction Workers	First-Line Supervisors of Construction Trades and Extraction Workers	5.67	1.67	1.0	2.33	7.0	4.67
6210	Boilermakers	Boilermakers	7.0	1.67	1.0	1.0	1.67	2.67
6220	Brickmasons, Blockmasons, and Stonemasons	Stonemasons	7.0	1.0	2.0	1.33	2.0	2.0
6230	Carpenters	Construction Carpenters	7.0	3.67	2.67	1.0	1.67	4.67
6240	Carpet, Floor, and Tile Installers and Finishers	Carpet Installers	7.0	1.33	1.33	1.67	3.0	2.67
6240	Carpet, Floor, and Tile Installers and Finishers	Floor Layers, Except Carpet, Wood, and Hard Tiles	7.0	3.0	2.33	1.0	1.33	5.33
6250	Cement Masons, Concrete Finishers, and Terrazzo Workers	Cement Masons and Concrete Finishers	7.0	1.67	1.33	1.0	3.0	2.67
6260	Construction Laborers	Construction Laborers	7.0	1.0	1.0	1.0	2.33	2.67
6300	Paving, Surfacing, and Tamping Equipment Operators	Paving, Surfacing, and Tamping Equipment Operators	7.0	1.0	1.0	1.0	2.33	2.67
6320	Construction equipment operators except paving, surfacing, and tamping equipment operators	Paving, Surfacing, and Tamping Equipment Operators	7.0	1.0	1.0	1.0	2.33	2.67
6330	Drywall Installers, Ceiling Tile Installers, and Tapers	Tapers	7.0	1.67	1.0	1.0	1.67	2.33
6355	Electricians	Electricians	7.0	3.33	1.33	1.33	2.67	3.33
6355	Electricians	Helpers--Electricians	6.67	2.67	1.33	1.33	1.67	3.33
6360	Glaziers	Glaziers	7.0	1.33	1.0	1.0	2.0	2.67
6400	Insulation Workers	Insulation Workers, Floor, Ceiling, and Wall	6.67	1.33	1.0	1.0	1.67	2.33
6400	Insulation Workers	Insulation Workers, Mechanical	7.0	4.0	1.67	1.0	1.67	5.0
6420	Painters, Construction and Maintenance	Painters, Construction and Maintenance	7.0	1.0	1.67	1.0	1.67	2.67
6430	Paperhangers	Paperhangers	7.0	2.33	2.0	1.0	2.0	4.67
6430	Paperhangers	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	6.67	1.0	1.67	1.33	2.33	2.67
6440	Pipelayers, Plumbers, Pipefitters, and Steamfitters	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	7.0	1.33	1.0	1.0	1.67	2.33
6460	Plasterers and Stucco Masons	Plasterers and Stucco Masons	7.0	1.0	2.33	1.0	2.0	2.33
6500	Reinforcing Iron and Rebar Workers	Reinforcing Iron and Rebar Workers	7.0	3.33	1.67	1.0	1.0	4.67
6515	Roofers	Roofers	7.0	2.0	1.0	1.0	1.67	2.67
6515	Roofers	Helpers--Roofers	7.0	2.0	1.0	2.0	2.0	4.33
6520	Sheet Metal Workers, metal-working	Sheet Metal Workers	7.0	1.33	1.67	1.0	1.67	2.0
6530	Structural Iron and Steel Workers	Structural Iron and Steel Workers	7.0	3.0	1.33	1.0	2.0	3.0
6660	Construction and Building Inspectors	Construction and Building Inspectors	7.0	4.67	1.33	1.0	2.67	6.0
6700	Elevator Installers and Repairers	Elevator Installers and Repairers	7.0	5.0	1.67	1.0	2.33	4.67
6710	Fence Erectors	Fence Erectors	7.0	2.67	1.33	1.0	2.67	4.67
6720	Hazardous Materials Removal Workers	Hazardous Materials Removal Workers	6.67	3.0	1.0	1.67	2.33	3.67
6730	Highway Maintenance Workers	Highway Maintenance Workers	7.0	3.0	1.0	1.33	2.33	4.33
6740	Rail-Track Laying and Maintenance Equipment Operators	Rail-Track Laying and Maintenance Equipment Operators	7.0	1.33	1.0	1.0	1.67	2.33
6765	Construction workers	Construction Carpenters	7.0	3.67	2.67	1.0	1.67	4.67
6765	Construction workers	Construction Laborers	7.0	1.0	1.0	1.0	2.33	2.67
6800	Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining	Service Unit Operators, Oil, Gas, and Mining	7.0	3.67	1.0	1.33	2.33	4.33
6800	Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining	Service Unit Operators, Oil, Gas, and Mining	7.0	3.67	1.0	1.33	2.33	4.33
6820	Earth Drillers, Except Oil and Gas	Earth Drillers, Except Oil and Gas	7.0	5.0	2.0	1.0	1.33	4.33
6830	Explosives Workers, Ordnance Handling Experts, and Blasters	Explosives Workers, Ordnance Handling Experts, and Blasters	6.67	5.67	1.33	1.33	2.33	4.67
6840	Mining Machine Operators	Continuous Mining Machine Operators	7.0	3.33	1.0	1.0	2.0	3.67
6940	Extraction workers	First-Line Supervisors of Construction Trades and Extraction Workers	5.67	1.67	1.0	2.33	7.0	4.67
6940	Extraction workers	Helpers--Extraction Workers	7.0	2.67	1.0	2.0	2.0	4.33
7000	First-Line Supervisors of Mechanics, Installers, and Repairers	First-Line Supervisors of Mechanics, Installers, and Repairers	4.67	2.33	1.0	2.67	7.0	5.67
7010	Computer, Automated Teller, and Office Machine Repairers	Computer, Automated Teller, and Office Machine Repairers	7.0	4.67	1.33	2.0	2.67	5.0
7020	Radio and Telecommunications Equipment Installers and Repairers	Telecommunications Equipment Installers and Repairers, Except Line Installers	7.0	5.0	1.33	2.0	2.33	4.67
7020	Radio and Telecommunications Equipment Installers and Repairers	Telecommunications Line Installers and Repairers	6.67	2.0	1.0	1.0	3.0	2.67
7030	Avionics Technicians	Avionics Technicians	7.0	4.33	1.33	1.0	2.33	4.33
7040	Electric Motor, Power Tool, and Related Repairers	Electric Motor, Power Tool, and Related Repairers	7.0	2.33	1.0	1.0	1.33	3.33
7100	Electrical and electronics installers and repairers, transportation equipment, and industrial and utility	Electrical and Electronics Installers and Repairers, Transportation Equipment	7.0	3.0	1.0	1.0	2.0	4.0
7110	Electronic Equipment Installers and Repairers, Motor Vehicles	Electronic Equipment Installers and Repairers, Motor Vehicles	7.0	5.0	2.0	1.0	2.0	4.33
7120	Electronic Home Entertainment Equipment Installers and Repairers	Electronic Home Entertainment Equipment Installers and Repairers	6.33	3.0	1.33	2.0	3.0	4.33
7125	Electronic Repairs	Electrical and Electronics Repairers, Commercial and Industrial Equipment	7.0	5.33	2.33	1.0	2.67	4.67
7125	Electronic Repairs	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	6.67	3.0	1.33	1.0	2.0	3.67
7130	Security and Fire Alarm Systems Installers	Security and Fire Alarm Systems Installers	6.67	2.67	1.0	1.0	2.0	3.67
7140	Aircraft Mechanics and Service Technicians	Aircraft Mechanics and Service Technicians	7.0	3.67	1.33	1.0	2.0	4.67
7150	Automotive Body and Related Repairers	Automotive Body and Related Repairers	7.0	1.67	1.67	1.0	2.33	2.33
7160	Automotive Glass Installers and Repairers	Automotive Glass Installers and Repairers	7.0	1.0	1.0	1.67	3.0	3.33
7210	Bus and Truck Mechanics and Diesel Engine Specialists	Bus and Truck Mechanics and Diesel Engine Specialists	7.0	2.33	1.0	1.0	1.67	3.33
7220	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	Farm Equipment Mechanics and Service Technicians	7.0	4.0	1.33	1.33	2.0	5.0
7240	Small Engine Mechanics	Outdoor Power Equipment and Other Small Engine Mechanics	7.0	2.0	1.0	1.67	3.0	3.33
7260	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	Carpet Installers	7.0	1.33	1.33	1.67	3.0	2.67
7260	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	Terrazzo Workers and Finishers	7.0	1.0	2.0	1.0	1.67	2.0
7300	Control and Valve Installers and Repairers	Control and Valve Installers and Repairers, Except Mechanical Door	7.0	4.0	1.0	1.0	2.0	4.67
7315	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	Heating and Air Conditioning Mechanics and Installers	7.0	4.67	2.0	1.33	3.0	4.67
7320	Home Appliance Repairers	Home Appliance Repairers	7.0	4.33	1.0	1.67	2.67	5.0
7330	Industrial and Refractory Machinery Mechanics	Electricians	7.0	3.33	1.33	1.33	2.67	3.33
7330	Industrial and Refractory Machinery Mechanics	Elevator Installers and Repairers	7.0	5.0	1.67	1.0	2.33	4.67
7340	Maintenance and Repair Workers, General	Maintenance and Repair Workers, General	7.0	3.67	1.33	1.0	2.33	4.33
7350	Maintenance Workers, Machinery	Maintenance Workers, Machinery	7.0	3.67	1.33	1.33	2.0	5.0
7360	Millwrights	Millwrights	7.0	3.0	1.67	1.0	1.33	3.0
7410	Electrical Power-Line Installers and Repairers	Electrical Power-Line Installers and Repairers	7.0	4.33	2.33	1.0	1.67	4.0
7420	Telecommunications Line Installers and Repairers	Telecommunications Line Installers and Repairers	6.67	2.0	1.0	1.0	3.0	2.67
7510	Coin, Vending, and Amusement Machine Servicers and Repairers	Coin, Vending, and Amusement Machine Servicers and Repairers	7.0	3.33	1.0	1.0	3.0	5.0
7540	Locksmiths and Safe Repairers	Locksmiths and Safe Repairers	7.0	1.67	1.0	1.67	2.33	3.67
7550	Manufactured Building and Mobile Home Installers	Manufactured Building and Mobile Home Installers	7.0	1.67	1.33	2.33	2.67	3.33
7560	Riggers	Riggers	7.0	3.67	1.33	1.0	2.33	5.0
7610	Helpers--Installation, Maintenance, and Repair Workers	Helpers--Installation, Maintenance, and Repair Workers	7.0	4.67	1.0	1.33	1.67	5.33
7630	Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers	Wind Turbine Service Technicians	6.67	2.33	1.0	1.33	2.33	4.0
7630	Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers	Signal and Track Switch Repairers	7.0	2.0	1.0	1.0	1.67	3.33
7700	First-Line Supervisors of Production and Operating Workers	First-Line Supervisors of Production and Operating Workers	5.67	2.67	1.0	2.33	7.0	5.0
7710	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	7.0	1.67	1.0	1.0	2.0	2.67
7720	Electrical, Electronics, and Electromechanical Assemblers	Boilermakers	7.0	1.67	1.0	1.0	1.67	2.67
7720	Electrical, Electronics, and Electromechanical Assemblers	Electro-Mechanical Technicians	7.0	5.33	2.33	1.33	1.33	5.0
7730	Engine and Other Machine Assemblers	Engine and Other Machine Assemblers	7.0	2.0	1.0	1.0	1.33	3.0
7740	Structural Metal Fabricators and Fitters	Structural Metal Fabricators and Fitters	7.0	3.0	2.67	1.0	1.67	5.0
7800	Bakers	Bakers	6.67	1.33	2.33	1.0	3.0	4.0
7810	Butchers and Other Meat, Poultry, and Fish Processing Workers	Sheet Metal Workers	7.0	1.33	1.67	1.0	1.67	2.0
7810	Butchers and Other Meat, Poultry, and Fish Processing Workers	Butchers and Meat Cutters	6.67	1.67	1.33	1.33	4.0	4.67
7830	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	7.0	1.67	1.0	1.0	2.0	3.0
7840	Food Batchmakers	Food Batchmakers	7.0	3.33	1.67	1.0	3.0	6.0
7850	Food Cooking Machine Operators and Tenders	Food Cooking Machine Operators and Tenders	7.0	3.33	1.0	1.33	2.67	5.33
7900	Computer Control Programmers and Operators	Computer Programmers	3.33	7.0	3.0	2.0	2.0	5.67
7900	Computer Control Programmers and Operators	Software Developers, Systems Software	4.0	7.0	2.67	2.33	1.67	5.67
7920	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	1.33	1.0	1.0	1.67	2.67
7920	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	2.33	1.0	1.0	1.33	3.33
7930	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	3.33	1.0	1.0	2.0	4.33
7930	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	6.67	2.0	1.0	1.0	3.0	4.0
7940	Rolling Machine Setters, Operators, and Tenders, metal and Plastic	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	3.33	1.0	1.0	2.0	4.33
7940	Rolling Machine Setters, Operators, and Tenders, metal and Plastic	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	6.67	2.0	1.0	1.0	3.0	4.0
7950	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	3.33	1.0	1.0	2.33	5.33
7960	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	4.67	1.67	1.0	2.0	5.0
7960	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	1.67	1.0	1.0	1.67	3.33
8000	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	1.67	1.0	1.0	1.67	2.33
8010	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	4.67	1.67	1.0	2.0	5.0
8010	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	7.0	4.67	2.0	1.0	1.33	4.33
8030	Machinists	Machinists	7.0	4.67	2.0	1.0	1.33	5.33
8040	Metal Furnace Operators, Tenders, Pourers, and Casters	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	6.67	1.0	1.0	1.33	2.67	3.67
8040	Metal Furnace Operators, Tenders, Pourers, and Casters	Amusement and Recreation Attendants	4.33	1.0	1.33	3.33	6.0	5.33
8060	Model Makers and Patternmakers, Metal and Plastic	Patternmakers, Metal and Plastic	7.0	4.33	4.0	1.0	1.33	4.33
8100	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	6.67	2.0	1.0	1.0	3.0	4.0
8100	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	1.67	1.0	1.0	1.67	3.33
8130	Tool and Die Makers	Tool and Die Makers	6.67	5.0	3.33	1.0	1.33	4.33
8140	Welding, Soldering, and Brazing Workers	Sheet Metal Workers	7.0	1.33	1.67	1.0	1.67	2.0
8140	Welding, Soldering, and Brazing Workers	Textile Bleaching and Dyeing Machine Operators and Tenders	6.67	1.67	1.0	1.0	1.67	2.33
8150	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	7.0	2.33	1.33	1.0	2.0	3.33
8200	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	2.33	1.0	1.0	1.33	3.33
8200	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	7.0	1.67	1.0	1.0	1.67	3.33
8210	Tool Grinders, Filers, and Sharpeners	Tool Grinders, Filers, and Sharpeners	7.0	2.0	1.33	1.0	2.0	3.0
8220	Metal workers and plastic workers	Layout Workers, Metal and Plastic	6.33	3.67	2.0	1.0	1.67	3.67
8230	Bookbinders, Printing Machine Operators, and Job Printers	Manufacturing Production Technicians	7.0	3.33	1.33	1.33	2.0	3.0
8230	Bookbinders, Printing Machine Operators, and Job Printers	Motion Picture Projectionists	6.67	3.0	1.33	1.0	1.67	5.0
8250	Prepress Technicians and Workers	Prepress Technicians and Workers	6.33	1.0	1.67	1.0	2.0	5.67
8300	Laundry and Dry-Cleaning Workers	Laundry and Dry-Cleaning Workers	6.33	1.33	1.0	1.33	2.33	3.33
8310	Pressers, Textile, Garment, and Related Materials	Pressers, Textile, Garment, and Related Materials	7.0	2.67	2.33	1.33	2.0	5.33
8320	Sewing Machine Operators	Sewing Machine Operators	6.67	1.33	1.67	1.0	1.67	4.0
8330	Shoe and Leather Workers and Repairers	Shoe and Leather Workers and Repairers	7.0	1.67	4.0	1.67	1.67	4.67
8340	Shoe Machine Operators and Tenders	Shoe Machine Operators and Tenders	7.0	1.33	1.0	1.0	1.67	2.67
8350	Tailors, Dressmakers, and Sewers	Tailors, Dressmakers, and Custom Sewers	6.67	1.0	4.0	2.0	3.67	2.33
8400	Textile bleaching and dyeing, and cutting machine setters, operators, and tenders	Textile Bleaching and Dyeing Machine Operators and Tenders	6.67	1.67	1.0	1.0	1.67	2.33
8400	Textile bleaching and dyeing, and cutting machine setters, operators, and tenders	Textile Cutting Machine Setters, Operators, and Tenders	7.0	1.33	1.0	1.0	1.33	2.67
8410	Textile Knitting and Weaving Machine Setters, Operators, and Tenders	Textile Knitting and Weaving Machine Setters, Operators, and Tenders	7.0	1.33	2.33	1.33	2.67	5.0
8420	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	6.67	1.67	1.0	1.0	2.0	3.33
8450	Upholsterers	Upholsterers	6.67	1.0	1.67	1.0	2.33	2.0
8500	Cabinetmakers and Bench Carpenters	Cabinetmakers and Bench Carpenters	7.0	1.0	2.0	1.0	2.0	2.67
8510	Furniture Finishers	Furniture Finishers	7.0	1.0	2.67	1.0	1.67	2.0
8530	Sawing Machine Setters, Operators, and Tenders, Wood	Sawing Machine Setters, Operators, and Tenders, Wood	7.0	3.33	1.67	1.0	1.0	5.0
8530	Sawing Machine Setters, Operators, and Tenders, Wood	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	7.0	3.67	1.67	1.0	1.33	4.67
8540	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	Sawing Machine Setters, Operators, and Tenders, Wood	7.0	3.33	1.67	1.0	1.0	5.0
8540	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	7.0	3.67	1.67	1.0	1.33	4.67
8550	Woodworkers including model makers and patternmakers	Construction Carpenters	7.0	3.67	2.67	1.0	1.67	4.67
8600	Power Plant Operators, Distributors, and Dispatchers	Power Plant Operators	6.33	2.0	1.0	1.0	2.33	4.33
8610	Stationary Engineers and Boiler Operators	Stationary Engineers and Boiler Operators	7.0	4.67	1.0	1.33	2.33	4.33
8620	Water Wastewater Treatment Plant and System Operators	Water and Wastewater Treatment Plant and System Operators	6.33	2.33	1.33	1.0	2.0	3.67
8630	Plant and System Operators	Chemical Plant and System Operators	7.0	2.33	1.0	1.33	2.0	3.67
8640	Chemical Processing Machine Setters, Operators, and Tenders	Sawing Machine Setters, Operators, and Tenders, Wood	7.0	3.33	1.67	1.0	1.0	5.0
8650	Crushing, Grinding, Polishing, Mixing, and Blending Workers	Sheet Metal Workers	7.0	1.33	1.67	1.0	1.67	2.0
8650	Crushing, Grinding, Polishing, Mixing, and Blending Workers	Fishers and Related Fishing Workers	7.0	2.0	1.0	1.0	2.33	1.67
8710	Cutting Workers	Sheet Metal Workers	7.0	1.33	1.67	1.0	1.67	2.0
8710	Cutting Workers	Textile Bleaching and Dyeing Machine Operators and Tenders	6.67	1.67	1.0	1.0	1.67	2.33
8720	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	7.0	3.67	1.33	1.0	1.67	5.33
8730	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	7.0	2.67	1.0	1.0	2.0	4.0
8740	Inspectors, Testers, Sorters, Samplers, and Weighers	Inspectors, Testers, Sorters, Samplers, and Weighers	6.33	3.67	1.0	1.67	2.67	6.67
8750	Jewelers and Precious Stone and Metal Workers	Jewelers	6.67	2.67	6.33	1.0	3.67	2.67
8760	Medical, Dental, and Ophthalmic Laboratory Technicians	Ophthalmic Laboratory Technicians	7.0	2.33	1.0	1.0	2.0	3.67
8800	Packaging and Filling Machine Operators and Tenders	Packaging and Filling Machine Operators and Tenders	7.0	3.0	1.67	1.0	1.67	5.33
8810	Painting Workers and Dyers	Laundry and Dry-Cleaning Workers	6.33	1.33	1.0	1.33	2.33	3.33
8810	Painting Workers and Dyers	Shoe and Leather Workers and Repairers	7.0	1.67	4.0	1.67	1.67	4.67
8830	Photographic Process Workers and Processing Machine Operators	Photographic Process Workers and Processing Machine Operators	4.33	2.0	2.67	2.0	2.0	6.33
8850	Adhesive Bonding Machine Operators and Tenders	Adhesive Bonding Machine Operators and Tenders	6.67	1.33	1.0	1.0	2.0	3.67
8860	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	7.0	1.33	1.0	1.0	1.33	2.67
8910	Etchers, Engravers, and Lithographers	Prepress Technicians and Workers	6.33	1.0	1.67	1.0	2.0	5.67
8910	Etchers, Engravers, and Lithographers	Semiconductor Processors	7.0	4.33	1.33	1.0	2.33	5.0
8930	Paper Goods Machine Setters, Operators, and Tenders	Paper Goods Machine Setters, Operators, and Tenders	6.67	3.0	1.0	1.0	2.33	4.67
8940	Tire Builders	Tire Builders	7.0	3.0	1.33	1.0	1.67	4.33
8950	Helpers--Production Workers	Helpers--Production Workers	7.0	3.0	1.33	1.33	1.33	5.0
8965	Other production workers including semiconductor processors and cooling and freezing equipment operators	Semiconductor Processors	7.0	4.33	1.33	1.0	2.33	5.0
9000	Supervisors of Transportation and Material Moving Workers	Chief Executives	1.33	2.0	2.67	3.67	7.0	5.33
9000	Supervisors of Transportation and Material Moving Workers	Property, Real Estate, and Community Association Managers	3.0	1.0	1.33	3.67	7.0	5.67
9030	Aircraft Pilots and Flight Engineers	Aerospace Engineers	5.67	7.0	3.67	1.33	2.33	3.0
9030	Aircraft Pilots and Flight Engineers	Agricultural Engineers	6.33	6.67	3.0	1.33	4.33	3.0
9040	Air Traffic Controllers and Airfield Operations Specialists	Air Traffic Controllers	3.67	2.33	1.0	2.33	6.33	6.0
9040	Air Traffic Controllers and Airfield Operations Specialists	Airfield Operations Specialists	3.67	3.67	1.0	2.33	5.0	5.0
9050	Flight Attendants and Transportation Workers and Attendants	Flight Attendants	3.33	1.33	2.33	5.33	6.0	4.67
9100	Bus and Ambulance Drivers and Attendants	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	6.67	1.0	1.0	1.33	2.67	3.67
9100	Bus and Ambulance Drivers and Attendants	Orderlies	5.33	1.0	1.0	3.33	1.33	6.33
9130	Driver/Sales Workers and Truck Drivers	Driver/Sales Workers	6.0	1.0	1.33	2.33	5.67	3.33
9140	Taxi Drivers and Chauffeurs	Taxi Drivers and Chauffeurs	5.67	1.33	1.0	3.0	5.0	2.67
9200	Locomotive Engineers and Operators	Locomotive Engineers	7.0	2.33	1.33	1.67	2.33	4.67
9230	Railroad Brake, Signal, and Switch Operators	Railroad Brake, Signal, and Switch Operators	7.0	1.33	1.0	1.33	2.33	3.33
9240	Railroad Conductors and Yardmasters	Railroad Conductors and Yardmasters	5.67	2.33	1.0	1.33	6.33	5.0
9260	Subway, Streetcar, and Other Rail Transportation Workers	Highway Maintenance Workers	7.0	3.0	1.0	1.33	2.33	4.33
9300	Sailors and marine oilers, and ship engineers	Sailors and Marine Oilers	7.0	3.0	1.0	1.0	3.33	5.0
9300	Sailors and marine oilers, and ship engineers	Ship Engineers	7.0	3.0	1.0	2.0	5.0	5.33
9310	Ship and Boat Captains and Operators	Ship and Boat Captains	6.0	2.33	1.0	2.33	6.67	3.67
9350	Parking Lot Attendants	Parking Lot Attendants	6.67	1.0	1.0	2.67	3.33	5.67
9360	Automotive and Watercraft Service Attendants	Automotive and Watercraft Service Attendants	7.0	2.33	1.0	3.33	2.33	4.67
9510	Crane and Tower Operators	Crane and Tower Operators	7.0	3.33	1.0	1.0	1.67	4.33
9520	Dredge, Excavating, and Loading Machine Operators	Manufacturing Production Technicians	7.0	3.33	1.33	1.33	2.0	3.0
9520	Dredge, Excavating, and Loading Machine Operators	Motion Picture Projectionists	6.67	3.0	1.33	1.0	1.67	5.0
9560	Conveyor operators and tenders, and hoist and winch operators	Conveyor Operators and Tenders	6.67	1.0	1.0	1.0	2.33	2.67
9560	Conveyor operators and tenders, and hoist and winch operators	Hoist and Winch Operators	7.0	1.33	1.0	1.0	2.67	2.67
9600	Industrial Truck and Tractor Operators	Industrial Truck and Tractor Operators	7.0	3.0	1.0	1.0	1.67	4.67
