i0	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	
27000	5	1011	53	0	2019	3		3097	29519	29698	29638	363620708	179063309	4065935	944		1.26	0.72	0.73	0.74	0.61	0.66	0.75	0.84		19	0.6	368	1.3	223	0.8	90	0.3	13369731	3.8	11981520	7.2	220124	5.7	27	2.9	
28000	5	1011	53	0	2019	3		2122	15881	15629	15931	194350369	38280658	519673	945		2.09	1.00	0.99	1.02	1.22	0.92	1.60	1.21		-37	-1.7	-575	-3.5	-936	-5.7	-977	-5.8	4281610	2.3	2476761	6.9	-4894	-0.9	67	7.6	
29000	5	1011	53	0	2019	3		2034	17373	17326	17350	184564297	28342080	461616	818		0.71	0.45	0.45	0.45	0.38	0.34	0.29	0.85		93	4.8	242	1.4	343	2.0	277	1.6	6195492	3.5	-235851	-0.8	-17261	-3.6	14	1.7	
30000	5	1011	53	0	2019	3		1799	13687	13971	13518	219695935	74440923	1488842	1231		2.61	2.06	2.12	2.06	2.96	1.30	1.41	1.43		8	0.4	287	2.1	326	2.4	523	4.0	9050023	4.3	3210199	4.5	-75931	-4.9	17	1.4	
31000	5	1011	53	0	2019	3		2433	18308	19679	15996	174385270	28440510	242404	745		2.44	1.32	1.43	1.19	1.06	1.32	0.76	0.81		49	2.1	-4342	-19.2	2345	13.5	346	2.2	8760573	5.3	1221279	4.5	-7313	-2.9	58	8.4	
32000	5	1011	53	0	2019	3		621	20104	20166	19946	405649363	77417267	1710086	1555		0.54	1.02	1.03	1.03	1.61	0.48	0.36	1.57		-22	-3.4	246	1.2	202	1.0	138	0.7	21146872	5.5	4739653	6.5	19113	1.1	67	4.5	
33000	5	1011	53	0	2019	3		352	2928	2946	2934	29692532	6521471	72953	778		0.48	0.31	0.32	0.32	0.22	0.30	0.38	0.71		8	2.3	-75	-2.5	-9	-0.3	7	0.2	1186623	4.2	-313518	-4.6	-34334	-32.0	38	5.1	
34000	5	1011	53	0	2019	3		1008	18190	14790	14078	155304201	104687994	3103153	762		0.27	0.32	0.27	0.25	0.17	0.27	0.30	0.62		2	0.2	-734	-3.9	214	1.5	696	5.2	9392296	6.4	2943933	2.9	157840	5.4	44	6.1	
35000	5	1011	53	0	2019	3		2099	39215	38708	38232	634516317	169505378	2525413	1261		2.46	3.39	3.30	3.31	4.60	2.69	3.11	1.38		85	4.2	1105	2.9	877	2.3	1049	2.8	58936044	10.2	-7910852	-4.5	-876453	-25.8	87	7.4	
36000	5	1011	53	0	2019	3		3014	33696	34250	38326	371218330	77056435	2024779	806		0.34	0.25	0.26	0.29	0.16	0.29	0.21	0.60		-67	-2.2	-172	-0.5	-343	-1.0	-622	-1.6	13834604	3.9	-1492387	-1.9	-279044	-12.1	38	4.9	
37000	5	1011	53	0	2019	3		3375	30920	30280	29968	301371415	139908134	571161	763		0.86	0.49	0.48	0.49	0.38	0.44	0.20	0.77		90	2.7	-601	-1.9	-647	-2.1	-627	-2.0	9942610	3.4	-302783	-0.2	-51101	-8.2	40	5.5	
38000	5	1011	53	0	2019	3		1797	26414	26540	26662	630942656	150870933	2242511	1829		4.14	4.46	4.52	4.54	7.88	3.31	2.82	1.75		22	1.2	412	1.6	162	0.6	-422	-1.6	14001052	2.3	-15222259	-9.2	-1859859	-45.3	37	2.1	
39000	5	1011	53	0	2019	3		2527	30354	29823	29424	366709346	38032977	1391922	944		0.62	0.39	0.39	0.39	0.37	0.31	0.33	0.95		61	2.5	-29	-0.1	-222	-0.7	-210	-0.7	-6965865	-1.9	-12124053	-24.2	-778805	-35.9	-13	-1.4	
40000	5	1011	53	0	2019	3		4392	57072	55824	54501	1153270388	102636454	1558783	1590		2.89	2.55	2.50	2.44	4.35	1.20	1.41	1.74		33	0.8	-7885	-12.1	-9423	-14.4	-10487	-16.1	-180269744	-13.5	-52872479	-34.0	-1643700	-51.3	13	0.8	
41000	5	1011	53	0	2019	3		4685	73891	68152	61583	617180189	519190380	10240841	699		2.15	2.70	2.52	2.28	1.66	2.14	1.44	0.66		84	1.8	2177	3.0	1844	2.8	1007	1.7	-4841515	-0.8	889829	0.2	-719417	-6.6	-24	-3.3	
42000	5	1011	53	0	2019	3		3669	55107	55087	54704	862210951	69245274	3870489	1207		0.74	0.66	0.67	0.67	0.74	0.50	0.39	1.12		52	1.4	775	1.4	725	1.3	145	0.3	47478601	5.8	-5357810	-7.2	-699078	-15.3	55	4.8	
44000	5	1011	53	0	2019	3		195	1336	1392	1346	13682530	6493086	369824	775		0.37	0.20	0.21	0.20	0.15	0.20	0.28	0.77		0	0.0	22	1.7	69	5.2	64	5.0	851541	6.6	359444	5.9	-6919	-1.8	19	2.5	
45000	5	1011	53	0	2019	3		1349	13015	12838	12719	138412991	24528877	326331	828		0.70	0.44	0.43	0.44	0.41	0.31	0.20	0.94		45	3.5	-362	-2.7	-82	-0.6	101	0.8	12480888	9.9	-2404332	-8.9	-4680	-1.4	81	10.8	
46000	5	1011	53	0	2019	3		1059	7192	7240	7097	77216103	16030511	237125	828		2.27	1.17	1.18	1.19	1.12	1.05	1.19	0.95		18	1.7	92	1.3	204	2.9	207	3.0	4524510	6.2	889597	5.9	43955	22.8	30	3.8	
47000	5	1011	53	0	2019	3		1118	12035	12083	12219	136204791	13501909	217468	865		0.49	0.29	0.29	0.29	0.25	0.23	0.22	0.88		16	1.5	439	3.8	563	4.9	521	4.5	9022566	7.1	677701	5.3	585	0.3	22	2.6	
48000	5	1011	53	0	2019	3		19849	308256	307061	303341	8100999770	343843195	10317882	2035		2.05	1.74	1.75	1.76	3.16	1.09	1.19	1.80		0	0.0	1970	0.6	-1789	-0.6	-5926	-1.9	462150990	6.1	-84462802	-19.7	-5297902	-33.9	128	6.7	
49000	5	1011	53	0	2019	3		1039	15679	16024	15420	241296454	85084240	918155	1182		0.70	0.73	0.75	0.73	0.90	0.52	0.81	1.22		33	3.3	-261	-1.6	321	2.0	-150	-1.0	10530953	4.6	3161741	3.9	-150554	-14.1	54	4.8	
50000	5	1011	53	0	2019	3		565	4485	4455	4340	42961547	12607750	293657	747		1.59	1.02	1.03	1.02	0.81	1.15	0.64	0.79		15	2.7	182	4.2	235	5.6	229	5.6	3677109	9.4	70469	0.6	-4527	-1.5	29	4.0	
51000	5	1011	53	0	2019	3		2095	19305	19288	19222	228366460	22765840	302931	912		0.55	0.35	0.35	0.36	0.28	0.28	0.21	0.80		-12	-0.6	-1320	-6.4	-1218	-5.9	-1012	-5.0	-2794789	-1.2	2206046	10.7	-33120	-9.9	43	4.9	
53000	5	1011	53	0	2019	3		7101	144963	127412	126464	1131849979	1012500980	15601466	655		2.07	2.92	2.62	2.64	1.32	2.08	2.15	0.48		-199	-2.7	-3453	-2.3	-4420	-3.4	-1004	-0.8	15612965	1.4	20190996	2.0	-1278009	-7.6	23	3.6	
54000	5	1011	53	0	2019	3		1177	23559	23432	23165	465073074	25433909	988514	1530		1.68	2.51	2.50	2.43	4.15	1.27	1.16	1.68		-25	-2.1	-378	-1.6	-324	-1.4	-752	-3.1	-5805821	-1.2	-6634467	-20.7	-510860	-34.1	13	0.9	
55000	5	1011	53	0	2019	3		2946	32505	32818	32996	326186623	65472344	1413565	766		1.19	0.80	0.81	0.83	0.66	0.68	0.52	0.81		18	0.6	-1181	-3.5	-1037	-3.1	-1463	-4.2	-1925568	-0.6	-3544459	-5.1	-308204	-17.9	24	3.2	
56000	5	1011	53	0	2019	3		1474	23723	23713	23425	485395976	70762343	1727866	1581		4.01	5.92	6.00	6.04	9.87	3.19	3.19	1.65		30	2.1	-186	-0.8	-317	-1.3	-366	-1.5	4929127	1.0	5410562	8.3	-152538	-8.1	35	2.3	
