IPUMS Title	ONET Title
Tool and Die Makers	Tool and Die Makers
Welding, Soldering, and Brazing Workers	Sheet Metal Workers
Welding, Soldering, and Brazing Workers	Textile Bleaching and Dyeing Machine Operators and Tenders
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic
Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic
Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic
Tool Grinders, Filers, and Sharpeners	Tool Grinders, Filers, and Sharpeners
Metal workers and plastic workers	Layout Workers, Metal and Plastic
Metal workers and plastic workers	Metal Workers and Plastic Workers, All Other
Bookbinders, Printing Machine Operators, and Job Printers	Manufacturing Production Technicians
Bookbinders, Printing Machine Operators, and Job Printers	Motion Picture Projectionists
Prepress Technicians and Workers	Prepress Technicians and Workers
Laundry and Dry-Cleaning Workers	Laundry and Dry-Cleaning Workers
Pressers, Textile, Garment, and Related Materials	Pressers, Textile, Garment, and Related Materials
Sewing Machine Operators	Sewing Machine Operators
Shoe and Leather Workers and Repairers	Shoe and Leather Workers and Repairers
Shoe Machine Operators and Tenders	Shoe Machine Operators and Tenders
Tailors, Dressmakers, and Sewers	Tailors, Dressmakers, and Custom Sewers
Textile bleaching and dyeing, and cutting machine setters, operators, and tenders	Textile Bleaching and Dyeing Machine Operators and Tenders
Textile bleaching and dyeing, and cutting machine setters, operators, and tenders	Textile Cutting Machine Setters, Operators, and Tenders
Textile Knitting and Weaving Machine Setters, Operators, and Tenders	Textile Knitting and Weaving Machine Setters, Operators, and Tenders
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders
Upholsterers	Upholsterers
Textile, Apparel, and Furnishings workers	Textile, Apparel, and Furnishings Workers, All Other
Cabinetmakers and Bench Carpenters	Cabinetmakers and Bench Carpenters
Cabinetmakers and Bench Carpenters	Carpenters
Furniture Finishers	Furniture Finishers
Sawing Machine Setters, Operators, and Tenders, Wood	Sawing Machine Setters, Operators, and Tenders, Wood
Sawing Machine Setters, Operators, and Tenders, Wood	Woodworking Machine Setters, Operators, and Tenders, Except Sawing
Woodworking Machine Setters, Operators, and Tenders, Except Sawing	Woodworking Machine Setters, Operators, and Tenders, Except Sawing
Woodworking Machine Setters, Operators, and Tenders, Except Sawing	Sawing Machine Setters, Operators, and Tenders, Wood
Woodworkers including model makers and patternmakers	Construction Carpenters
Woodworkers including model makers and patternmakers	Assemblers and Fabricators, All Other
Power Plant Operators, Distributors, and Dispatchers	Power Plant Operators
Stationary Engineers and Boiler Operators	Stationary Engineers and Boiler Operators
Water Wastewater Treatment Plant and System Operators	Water and Wastewater Treatment Plant and System Operators
Plant and System Operators	Chemical Plant and System Operators
Plant and System Operators	Plant and System Operators, All Other
Chemical Processing Machine Setters, Operators, and Tenders	Sawing Machine Setters, Operators, and Tenders, Wood
Crushing, Grinding, Polishing, Mixing, and Blending Workers	Fishers and Related Fishing Workers
Crushing, Grinding, Polishing, Mixing, and Blending Workers	Sheet Metal Workers
Cutting Workers	Sheet Metal Workers
Cutting Workers	Textile Bleaching and Dyeing Machine Operators and Tenders
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders
Inspectors, Testers, Sorters, Samplers, and Weighers	Inspectors, Testers, Sorters, Samplers, and Weighers
Jewelers and Precious Stone and Metal Workers	Jewelers and Precious Stone and Metal Workers
Jewelers and Precious Stone and Metal Workers	Jewelers
Medical, Dental, and Ophthalmic Laboratory Technicians	Ophthalmic Laboratory Technicians
Packaging and Filling Machine Operators and Tenders	Packaging and Filling Machine Operators and Tenders
Painting Workers and Dyers	Laundry and Dry-Cleaning Workers
Painting Workers and Dyers	Shoe and Leather Workers and Repairers
Photographic Process Workers and Processing Machine Operators	Photographic Process Workers and Processing Machine Operators
Adhesive Bonding Machine Operators and Tenders	Adhesive Bonding Machine Operators and Tenders
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders
Etchers, Engravers, and Lithographers	Prepress Technicians and Workers
Etchers, Engravers, and Lithographers	Semiconductor Processors
Molders, Shapers, and Casters, Except Metal and Plastic	Molders, Shapers, and Casters, Except Metal and Plastic
Paper Goods Machine Setters, Operators, and Tenders	Paper Goods Machine Setters, Operators, and Tenders
Tire Builders	Tire Builders
Helpers--Production Workers	Helpers--Production Workers
Other production workers including semiconductor processors and cooling and freezing equipment operators	Semiconductor Processors
Supervisors of Transportation and Material Moving Workers	Chief Executives
Supervisors of Transportation and Material Moving Workers	Property, Real Estate, and Community Association Managers
Aircraft Pilots and Flight Engineers	Aerospace Engineers
Aircraft Pilots and Flight Engineers	Agricultural Engineers
Air Traffic Controllers and Airfield Operations Specialists	Air Traffic Controllers
Air Traffic Controllers and Airfield Operations Specialists	Airfield Operations Specialists
Flight Attendants and Transportation Workers and Attendants	Flight Attendants
Bus and Ambulance Drivers and Attendants	Orderlies
Bus and Ambulance Drivers and Attendants	Janitors and Cleaners, Except Maids and Housekeeping Cleaners
Driver/Sales Workers and Truck Drivers	Driver/Sales Workers
Taxi Drivers and Chauffeurs	Taxi Drivers and Chauffeurs
Motor Vehicle Operators, All Other	Motor Vehicle Operators, All Other
Locomotive Engineers and Operators	Locomotive Engineers
Railroad Brake, Signal, and Switch Operators	Railroad Brake, Signal, and Switch Operators
Railroad Conductors and Yardmasters	Railroad Conductors and Yardmasters
Subway, Streetcar, and Other Rail Transportation Workers	Highway Maintenance Workers
Sailors and marine oilers, and ship engineers	Sailors and Marine Oilers
Sailors and marine oilers, and ship engineers	Ship Engineers
Ship and Boat Captains and Operators	Ship and Boat Captains
Parking Lot Attendants	Parking Lot Attendants
Automotive and Watercraft Service Attendants	Automotive and Watercraft Service Attendants
Transportation Inspectors	Transportation Inspectors
Transportation workers	Rail Transportation Workers, All Other
Transportation workers	Transportation Workers, All Other
Crane and Tower Operators	Crane and Tower Operators
Dredge, Excavating, and Loading Machine Operators	Manufacturing Production Technicians
Dredge, Excavating, and Loading Machine Operators	Motion Picture Projectionists
Conveyor operators and tenders, and hoist and winch operators	Conveyor Operators and Tenders
Conveyor operators and tenders, and hoist and winch operators	Hoist and Winch Operators
Industrial Truck and Tractor Operators	Industrial Truck and Tractor Operators
Cleaners of Vehicles and Equipment	Cleaners of Vehicles and Equipment
Laborers and Freight, Stock, and Material Movers, Hand	Laborers and Freight, Stock, and Material Movers, Hand
Machine Feeders and Offbearers	Machine Feeders and Offbearers
Packers and Packagers, Hand	Packers and Packagers, Hand
Pumping Station Operators	Gas Compressor and Gas Pumping Station Operators
Refuse and Recyclable Material Collectors	Refuse and Recyclable Material Collectors
Material moving workers	Material Moving Workers, All Other
Military Officer Special and Tactical Operations Leaders	Military Officer Special and Tactical Operations Leaders, All Other
First-Line Enlisted Military Supervisors	Chief Executives
First-Line Enlisted Military Supervisors	Property, Real Estate, and Community Association Managers
Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other
