IPUMS Title	ONET Title
Paralegals and Legal Assistants	Paralegals and Legal Assistants
Legal Support Workers	Legal Support Workers, All Other
Postsecondary Teachers	Business Teachers, Postsecondary
Postsecondary Teachers	Physics Teachers, Postsecondary
Preschool and Kindergarten Teachers	Business Teachers, Postsecondary
Preschool and Kindergarten Teachers	Physics Teachers, Postsecondary
Elementary and Middle School Teachers	Business Teachers, Postsecondary
Elementary and Middle School Teachers	Physics Teachers, Postsecondary
Secondary School Teachers	Secondary School Teachers, Except Special and Career/Technical Education
Special Education Teachers	Special Education Teachers, Preschool
Special Education Teachers	Special Education Teachers, All Other
Other Teachers and Instructors	Teachers and Instructors, All Other
Archivists, Curators, and Museum Technicians	Archivists
Archivists, Curators, and Museum Technicians	Curators
Librarians	Librarians
Library Technicians	Library Technicians
Teacher Assistants	Teacher Assistants
Education, Training, and Library Workers	Education, Training, and Library Workers, All Other
Artists and Related Workers	Artists and Related Workers, All Other
Designers	Video Game Designers
Designers	Instructional Designers and Technologists
Actors, Producers, and Directors	Producers and Directors
Actors, Producers, and Directors	Actors
Athletes, Coaches, Umpires, and Related Workers	Athletes and Sports Competitors
Athletes, Coaches, Umpires, and Related Workers	Umpires, Referees, and Other Sports Officials
Dancers and Choreographers	Dancers
Dancers and Choreographers	Choreographers
Musicians, Singers, and Related Workers	Singers
Entertainers and Performers, Sports and Related Workers, All Other	Entertainers and Performers, Sports and Related Workers, All Other
Announcers	Radio and Television Announcers
Announcers	Public Address System and Other Announcers
Editors, News Analysts, Reporters, and Correspondents	Editors
Public Relations Specialists	Public Relations Specialists
Technical Writers	Technical Writers
Writers and Authors	Writers and Authors
Media and Communication Workers	Media and Communication Workers, All Other
Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other	Sound Engineering Technicians
Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other	Media and Communication Equipment Workers, All Other
Photographers	Photographers
Television, Video, and Motion Picture Camera Operators and Editors	Camera Operators, Television, Video, and Motion Picture
Chiropractors	Chiropractors
Chiropractors	Actors
Dentists	Dentists, General
Dentists	Dentists, All Other Specialists
Dieticians and Nutritionists	Dietitians and Nutritionists
Optometrists	Optometrists
Pharmacists	Pharmacists
Physicians and Surgeons	Physicians and Surgeons, All Other
Physicians and Surgeons	Surgeons
Physician Assistants	Physician Assistants
Podiatrists	Podiatrists
Registered Nurses	Registered Nurses
Audiologists	Audiologists
Audiologists	Radiologists
Occupational Therapists	Occupational Therapists
Physical Therapists	Physical Therapists
Radiation Therapists	Radiation Therapists
Recreational Therapists	Recreational Therapists
Respiratory Therapists	Respiratory Therapists
Speech Language Pathologists	Speech-Language Pathologists
Speech Language Pathologists	Pathologists
Therapists	Art Therapists
Therapists	Marriage and Family Therapists
Veterinarians	Veterinarians
Health Diagnosing and Treating Practitioners	Health Diagnosing and Treating Practitioners, All Other
Clinical Laboratory Technologists and Technicians	Computer User Support Specialists
Clinical Laboratory Technologists and Technicians	Electronics Engineering Technicians
Dental Hygienists	Dental Hygienists
Diagnostic Related Technologists and Technicians	Computer User Support Specialists
Diagnostic Related Technologists and Technicians	Electronics Engineering Technicians
Emergency Medical Technicians and Paramedics	Emergency Medical Technicians and Paramedics
Health Diagnosing and Treating Practitioner Support Technicians	Computer User Support Specialists
Health Diagnosing and Treating Practitioner Support Technicians	Computer User Support Specialists
Licensed Practical and Licensed Vocational Nurses	Licensed Practical and Licensed Vocational Nurses
Medical Records and Health Information Technicians	Medical Records and Health Information Technicians
Opticians, Dispensing	Opticians, Dispensing
Health Technologists and Technicians	Health Technologists and Technicians, All Other
Healthcare Practitioners and Technical Occupations	Podiatrists
Nursing, Psychiatric, and Home Health Aides	Home Health Aides
Occupational Therapy Assistants and Aides	Occupational Therapy Assistants
Physical Therapist Assistants and Aides	Physical Therapist Assistants
Massage Therapists	Massage Therapists
Medical Assistants and Other Healthcare Support Occupations	Medical Assistants
First-Line Supervisors of Correctional Officers	First-Line Supervisors of Correctional Officers
First-Line Supervisors of Police and Detectives	First-Line Supervisors of Police and Detectives
First-Line Supervisors of Fire Fighting and Prevention Workers	First-Line Supervisors of Fire Fighting and Prevention Workers
Supervisors, Protective Service Workers, All Other	First-Line Supervisors of Protective Service Workers, All Other
Supervisors, Protective Service Workers, All Other	Protective Service Workers, All Other
Firefighters	Firefighters
Firefighters	Municipal Firefighters
Fire Inspectors	Fire Inspectors
Fire Inspectors	Fire Inspectors and Investigators
Sheriffs, Bailiffs, Correctional Officers, and Jailers	Bailiffs
Police Officers and Detectives	Social Workers, All Other
Police Officers and Detectives	Probation Officers and Correctional Treatment Specialists
Animal Control	Animal Control Workers
Private Detectives and Investigators	Private Detectives and Investigators
Security Guards and Gaming Surveillance Officers	Security Guards
Crossing Guards	Crossing Guards
Law enforcement workers	Production Workers, All Other
Chefs and Cooks	Chefs and Head Cooks
First-Line Supervisors of Food Preparation and Serving Workers	First-Line Supervisors of Food Preparation and Serving Workers
Food Preparation Workers	Food Preparation Workers
Bartenders	Bartenders
Combined Food Preparation and Serving Workers, Including Fast Food	Combined Food Preparation and Serving Workers, Including Fast Food
Counter Attendant, Cafeteria, Food Concession, and Coffee Shop	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop
Waiters and Waitresses	Waiters and Waitresses
Food Servers, Nonrestaurant	Food Servers, Nonrestaurant
Food preparation and serving related workers	Food Preparation and Serving Related Workers, All Other
Dishwashers	Dishwashers
Host and Hostesses, Restaurant, Lounge, and Coffee Shop	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop
First-Line Supervisors of Housekeeping and Janitorial Workers	First-Line Supervisors of Housekeeping and Janitorial Workers
First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
Janitors and Building Cleaners	Janitors and Cleaners, Except Maids and Housekeeping Cleaners
Janitors and Building Cleaners	Janitors and Cleaners, Except Maids and Housekeeping Cleaners
Maids and Housekeeping Cleaners	Maids and Housekeeping Cleaners
Maids and Housekeeping Cleaners	Janitors and Cleaners, Except Maids and Housekeeping Cleaners
Pest Control Workers	Pest Control Workers
Grounds Maintenance Workers	Grounds Maintenance Workers, All Other
First-Line Supervisors of Gaming Workers	First-Line Supervisors of Logging Workers
First-Line Supervisors of Personal Service Workers	First-Line Supervisors of Personal Service Workers
Animal Trainers	Animal Trainers
Nonfarm Animal Caretakers	Nonfarm Animal Caretakers
Gaming Services Workers	Gaming Service Workers, All Other
Ushers, Lobby Attendants, and Ticket Takers	Ushers, Lobby Attendants, and Ticket Takers
Entertainment Attendants and Related Workers	Entertainment Attendants and Related Workers, All Other
Funeral Service Workers and Embalmers	Embalmers
Barbers	Barbers
Hairdressers, Hairstylists, and Cosmetologists	Hairdressers, Hairstylists, and Cosmetologists
Personal Appearance Workers	Mining Machine Operators, All Other
Personal Appearance Workers	Amusement and Recreation Attendants
Baggage Porters, Bellhops, and Concierges	Baggage Porters and Bellhops
Baggage Porters, Bellhops, and Concierges	Concierges
Tour and Travel Guides	Travel Guides
Childcare Workers	Childcare Workers
Personal Care Aides	Personal Care Aides
Recreation and Fitness Workers	Fitness Trainers and Aerobics Instructors
Recreation and Fitness Workers	Recreation Workers
Residential Advisors	Residential Advisors
Personal Care and Service Workers, All Other	Personal Care and Service Workers, All Other
First-Line Supervisors of Sales Workers	First-Line Supervisors of Retail Sales Workers
First-Line Supervisors of Sales Workers	First-Line Supervisors of Non-Retail Sales Workers
Cashiers	Cashiers
Cashiers	Gaming Change Persons and Booth Cashiers
Counter and Rental Clerks	Counter and Rental Clerks
Parts Salespersons	Parts Salespersons
Retail Salespersons	Retail Salespersons
Advertising Sales Agents	Advertising Sales Agents
Insurance Sales Agents	Insurance Sales Agents
Securities, Commodities, and Financial Services Sales Agents	Securities, Commodities, and Financial Services Sales Agents
Travel Agents	Travel Agents
Sales Representatives, Services, All Other	Sales Representatives, Services, All Other
Sales Representatives, Wholesale and Manufacturing	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products
Sales Representatives, Wholesale and Manufacturing	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products
Models, Demonstrators, and Product Promoters	Demonstrators and Product Promoters
Models, Demonstrators, and Product Promoters	Models
Real Estate Brokers and Sales Agents	Real Estate Brokers
Sales Engineers	Sales Engineers
Telemarketers	Telemarketers
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	Door-To-Door Sales Workers, News and Street Vendors, and Related Workers
Sales and Related Workers, All Other	Sales and Related Workers, All Other
First-Line Supervisors of Office and Administrative Support Workers	First-Line Supervisors of Office and Administrative Support Workers
Switchboard Operators, Including Answering Service	Switchboard Operators, Including Answering Service
Telephone Operators	Telephone Operators
Communications Equipment Operators, All Other	Communications Equipment Operators, All Other
Bill and Account Collectors	Bill and Account Collectors
Billing and Posting Clerks	Billing and Posting Clerks
Bookkeeping, Accounting, and Auditing Clerks	Bookkeeping, Accounting, and Auditing Clerks
Gaming Cage Workers	Gaming Cage Workers
Payroll and Timekeeping Clerks	Payroll and Timekeeping Clerks
Procurement Clerks	Procurement Clerks
Bank Tellers	Tellers
Financial Clerks	Financial Clerks, All Other
Brokerage Clerks	Brokerage Clerks
Court, Municipal, and License Clerks	Court, Municipal, and License Clerks
Court, Municipal, and License Clerks	License Clerks
Credit Authorizers, Checkers, and Clerks	Credit Authorizers, Checkers, and Clerks
Credit Authorizers, Checkers, and Clerks	Credit Authorizers
Customer Service Representatives	Customer Service Representatives
Eligibility Interviewers, Government Programs	Eligibility Interviewers, Government Programs
File Clerks	File Clerks
Hotel, Motel, and Resort Desk Clerks	Hotel, Motel, and Resort Desk Clerks
